,City,Cloudiness (%),Humidity (%),Latitude,Temperature (F),Wind Speed (mph)
96,Saguing,40,46,6.98,93.2,6.93
97,Tremembe,40,88,-22.97,69.8,2.37
98,Puerto Salgar,92,100,5.46,65.83,1.59
99,Stepantsevo,92,97,56.13,37.75,15.79
100,Coria del Rio,0,87,37.29,48.85,1.12
101,Zwedru,8,93,6.07,70.69,5.39
102,Pacajus,75,94,-4.17,78.8,5.82
103,Solymar,20,80,47.59,41.0,12.75
104,Thessalon,1,73,46.25,18.07,3.36
105,Carmen,40,66,9.82,87.8,8.05
106,Hopkins,1,67,44.92,23.18,5.82
107,Tibanesti,75,81,46.92,43.74,1.12
108,Pitogo,64,95,13.78,80.86,10.42
109,Sorrento,40,93,40.62,47.37,1.92
110,Rock Hall,20,83,13.22,77.0,13.87
111,Tyumentsevo,32,98,53.32,25.42,12.21
112,Porto San Giorgio,0,61,43.18,48.2,5.82
113,Haringhata,40,57,22.95,80.6,8.05
114,Popesti,0,47,44.77,45.04,8.97
115,Olupona,75,94,7.6,78.8,5.82
116,Semporna,75,74,4.48,86.0,5.82
117,Dhemaji,20,48,27.48,86.04,3.36
118,Ube,20,77,33.94,63.82,6.93
119,Nagpur,0,37,21.15,86.0,3.36
120,Kshenskiy,92,94,51.84,34.6,13.67
121,Reisterstown,90,65,39.47,47.48,4.7
122,Sendriceni,0,86,47.95,39.2,3.36
123,North Ogden,1,43,41.31,54.57,5.82
124,Sol-Iletsk,0,100,51.16,29.29,6.85
125,Kivertsy,40,92,50.83,33.8,24.61
126,Mezozombor,40,93,48.15,35.6,4.7
127,Zakamensk,68,64,50.37,17.14,4.27
128,Izalco,0,94,13.74,71.6,2.15
129,Fratesti,20,70,43.97,45.48,8.05
130,Chivacoa,68,99,10.16,65.74,2.59
131,Riverton,48,61,-46.35,63.94,14.79
132,Clichy-sous-Bois,0,70,48.91,44.6,5.82
133,Pardesiyya,90,93,32.31,58.96,6.93
134,Dhanaula,0,48,30.28,89.68,8.41
135,Plainview,1,48,40.78,40.03,5.82
136,Miki,20,75,41.25,46.4,4.7
137,Volpago del Montello,0,86,45.78,35.82,2.24
138,Steyregg,75,80,48.28,41.0,11.41
139,Broager,0,86,54.89,31.35,9.17
140,Skerries,75,93,53.58,37.99,23.04
141,Minamata,20,43,32.22,71.6,6.93
142,Fairhaven,20,43,41.64,36.43,5.82
143,Vilyuysk,20,55,63.76,25.42,3.6
144,Barquisimeto,24,86,10.07,65.74,4.16
145,Vocklabruck,75,80,48.02,37.31,11.41
146,Chamonix-Mont-Blanc,0,84,45.92,34.68,2.24
147,Tayum,20,55,17.62,87.8,9.17
148,Olenino,64,95,56.21,39.37,21.72
149,Cristian,24,63,45.62,34.69,8.63
150,Fleury-Merogis,0,65,48.63,44.6,4.7
151,Sercaia,24,63,45.85,34.69,8.63
152,Doyong Malabago,76,91,15.97,75.1,2.48
153,Mpongwe,12,82,-13.53,66.46,8.75
154,Frankfurt (Oder),20,92,52.35,30.2,9.17
155,Sosnogorsk,32,74,63.6,28.48,3.6
156,Cancuc,0,89,16.92,49.09,1.59
157,Bobrovskiy,90,86,56.67,28.4,6.71
158,Rabat,40,93,34.01,53.6,4.7
159,Harrison,44,100,13.45,79.51,5.5
160,Deoband,0,72,29.7,83.74,4.94
161,Barnsley,90,100,53.55,37.13,9.17
162,San Ignacio,48,92,7.12,80.77,3.04
163,Sirkazhi,0,74,11.23,87.97,6.62
164,Suurejõe,92,98,58.62,33.43,15.35
165,Casa Quemada,20,88,15.12,71.6,2.04
166,Cervantes,44,100,10.87,79.87,5.17
167,Kryoneri,0,70,38.15,50.0,3.36
168,Filadelfia,75,88,5.3,68.0,6.93
169,Sile,75,93,41.18,48.33,2.24
170,Las Navas,68,100,12.34,81.49,10.09
171,Boscotrecase,20,93,40.77,47.52,2.24
172,Zapotlan de Juarez,5,20,19.97,64.4,6.93
173,Diriomo,20,65,11.87,80.6,9.17
174,Infanta,44,90,15.83,79.78,4.38
175,Feira Nova,75,94,-7.93,77.0,5.82
176,Druzhnaya Gorka,90,92,59.28,33.8,8.95
177,Doctor Arroyo,8,79,23.67,50.17,3.71
178,Ashwaubenon,1,68,44.48,21.96,4.7
179,Birkeland,0,79,58.33,21.2,4.7
180,Afgooye,40,79,2.15,86.0,11.41
181,Manolas,20,100,38.05,50.76,6.73
182,Itimadpur,0,37,27.25,94.54,5.73
183,Kravare,20,69,49.93,35.6,17.22
184,Gaoual,0,71,11.75,72.76,6.96
185,Ulenurme,92,100,58.32,33.8,10.29
186,Malu Mare,0,61,44.23,46.4,14.99
187,Ouango,20,94,4.32,72.94,4.61
188,Dingwall,92,100,57.6,34.95,4.7
189,Cuambog,40,46,7.31,93.2,6.93
190,Onega,44,79,63.91,24.79,6.4
191,Owando,76,97,-0.49,72.31,2.37
192,Valentin Gomez Farias,68,27,28.22,58.09,9.75
193,Skopelos,20,67,39.03,57.2,10.29
194,Iklad,20,80,47.67,41.0,12.75
195,Menongue,36,92,-14.66,60.97,2.37
196,Villa Rica,92,97,2.51,56.74,1.14
197,Wuchuan,8,65,21.46,81.76,8.08
198,Artsvanist,0,73,40.15,40.99,3.38
199,Starokucherganovka,40,75,46.32,44.6,20.13
200,Krugersdorp,40,93,-26.09,62.08,3.36
201,Igarassu,75,94,-7.83,77.0,5.82
202,Fuchu,1,33,35.67,71.55,3.36
203,Chiaravalle,0,61,43.6,48.2,5.82
204,Manyana,20,75,-23.4,61.69,13.0
205,Mihaesti,32,63,44.13,46.21,16.91
206,Jarrow,75,100,54.98,37.45,8.05
207,Vidólapos,0,75,46.93,41.94,12.75
208,Broni,0,69,45.07,39.2,1.48
209,Pachalum,0,91,14.92,51.97,2.15
210,Wittelsheim,0,86,47.8,34.79,5.82
211,Nomós Arkadías,20,87,37.67,46.4,2.15
212,Lashio,8,39,22.93,86.53,2.71
213,Plugari,75,81,47.48,40.96,1.12
214,Lomas de Sargentillo,0,65,-1.88,78.8,6.93
215,Guadalajara,75,32,20.67,69.8,5.82
216,Turnu Magurele,32,72,43.75,48.1,16.69
217,Taboc,24,86,8.88,82.03,5.39
218,Pingdu,0,47,36.78,77.0,13.42
219,Zebbug,20,76,35.87,51.8,6.93
220,Trofarello,0,44,44.98,38.25,4.7
221,Acacias,92,97,3.99,59.89,1.36
222,El Colorado,0,47,20.57,54.04,4.61
223,Monsenhor Gil,20,94,-5.58,75.2,2.93
224,Cotofanesti,0,87,46.15,44.6,3.36
225,Cata,92,81,46.08,38.47,13.44
226,Santomera,0,54,38.06,54.48,5.82
227,Vercelli,0,48,45.32,39.81,2.24
228,High Prairie,0,71,55.43,-0.41,2.71
229,Zahirabad,0,36,17.68,93.82,7.74
230,Juazeiro,0,61,-9.5,80.6,8.05
231,Ninotsminda,0,80,41.27,35.6,3.38
232,Tampakan,36,40,6.44,95.53,6.73
233,Kolkhozobod,12,49,37.59,62.5,2.37
234,Lalab,32,83,11.57,80.68,3.94
235,Horka nad Moravou,20,69,49.64,36.5,17.22
236,New Ipswich,1,50,42.75,31.84,4.7
237,Fernie,90,92,49.5,30.2,2.15
238,Oqtosh,64,75,39.92,56.83,4.16
239,Uruburetama,56,93,-3.63,74.83,2.71
240,Kuruman,80,86,-27.45,62.59,9.08
241,Bridgend,90,100,51.51,45.54,9.17
242,Bulembu,90,100,-25.97,68.0,8.05
243,Hejobaba,0,80,47.9,39.2,13.87
244,Aubel,20,80,50.7,38.57,8.05
245,Saint-Orens-de-Gameville,0,61,43.55,50.0,13.87
246,Macaas,40,66,10.7,87.8,8.05
247,Pavlovsk,90,98,59.68,33.8,8.95
248,Arnold,75,100,53.0,36.68,12.75
249,Paraguacu,76,98,-21.55,64.3,3.15
250,Turbe,0,70,44.35,46.4,8.05
251,La Ferte-Bernard,0,66,48.19,45.41,3.36
252,Obercorn,0,93,49.51,37.4,3.36
253,Tenepango,0,74,21.33,64.93,3.15
254,Oporapa,36,95,2.05,55.48,2.59
255,Whitefish,75,100,48.41,30.2,3.36
256,Pallisa,0,91,1.15,72.49,4.05
257,Langatian,8,75,8.52,85.27,8.19
258,Vkhodnoy,75,79,54.95,23.0,13.42
259,Rawa Mazowiecka,90,91,51.76,32.0,20.8
260,Modave,20,80,50.45,40.39,9.17
261,San Bartolome,40,77,29.0,58.75,2.24
262,Yaxchoj,0,100,16.25,56.65,2.93
263,Suining,0,76,30.51,76.54,4.94
264,Banilad,40,52,14.07,89.6,9.17
265,Binubusan,0,98,13.96,82.03,2.48
266,South Miami Heights,20,73,25.6,73.09,4.7
267,Gazi,20,71,35.33,57.2,12.75
268,Rettikhovka,12,63,44.17,57.37,15.46
269,Norre Hvalso,0,92,55.6,30.36,6.93
270,Revadanda,0,59,18.55,88.56,8.05
271,Parramos,36,84,14.61,61.33,0.36
272,Weyburn,36,65,49.67,1.66,3.38
273,Theunissen,56,96,-28.41,61.15,7.85
274,Columbia,1,51,34.0,58.55,6.93
275,Harisakichō,20,64,34.92,68.0,3.36
276,Nongstoin,8,57,25.52,83.11,3.6
277,Capreni,0,61,44.75,46.4,14.99
278,Kapiri Mposhi,92,87,-13.97,65.83,7.96
279,Siria,0,86,46.27,39.85,11.41
280,Doctor Juan Manuel Frutos,32,92,-25.37,63.85,3.6
281,Rameldange,0,93,49.66,36.43,3.36
282,Unirea,0,87,44.27,42.8,18.34
283,Ushirombo,12,90,-3.49,69.34,4.27
284,Kibaha,75,94,-6.77,77.0,4.72
285,Homestead,20,73,25.47,72.32,4.7
286,Rutland,1,58,43.61,27.95,2.93
287,Baca,20,65,21.1,78.8,9.17
288,Nunspeet,90,93,52.38,38.39,4.7
289,Gerstetten,0,91,48.63,30.78,2.24
290,Richmond,90,86,37.75,39.2,10.29
291,Graested,0,92,56.07,29.61,6.93
292,Uspenka,88,100,56.63,30.19,8.19
293,Vardenik,0,73,40.13,40.99,3.38
294,Kardymovo,92,94,54.89,42.16,23.4
295,Nkpor,24,98,6.15,75.55,6.29
296,Kornwestheim,0,90,48.87,32.0,2.24
297,Boot,40,52,14.05,89.6,9.17
298,Bileca,0,81,42.87,40.28,3.36
299,Vaitele,40,74,-13.82,86.0,11.41
300,Malaga,0,76,36.73,48.2,6.93
301,Villa Nueva,75,68,14.02,68.0,3.04
302,Khandagayty,0,53,50.73,16.06,2.93
303,Imelda,88,100,14.03,77.17,7.07
304,San Eduardo,36,96,12.17,81.4,9.19
305,Sardarshahr,0,15,28.43,98.95,9.64
306,Hoffman Estates,1,79,42.04,25.16,8.05
307,Ajaccio,0,80,41.93,40.59,8.05
308,El Presidio,8,53,24.52,48.46,4.16
309,Atarra,0,29,25.28,95.89,6.4
310,Ephrata,90,48,40.18,44.83,7.85
311,Bol’shoy Istok,90,86,56.72,28.4,6.71
312,Seto,0,64,35.23,68.0,3.36
313,Caianu Mic,20,75,47.23,41.0,13.87
314,Mabayo,75,44,14.73,93.2,13.87
315,Anavyssos,0,57,37.73,49.87,4.7
316,Kurumkan,44,55,54.3,11.83,3.83
317,Allonnes,0,66,47.97,48.2,3.36
318,Aserrio de Gariche,44,94,8.48,73.21,4.16
319,Sombrerete,0,45,23.63,52.96,5.06
320,Guipos,24,71,7.72,86.17,4.16
321,Erlangen,40,100,49.59,35.62,3.36
322,Srinagar,88,78,34.09,42.88,0.36
323,Sykourion,0,65,39.76,46.4,4.7
324,Mont-Joli,75,62,48.58,20.97,21.92
325,Nogueira da Regedoura,75,87,41.01,55.4,17.22
326,San Isidro Laug,75,44,15.05,91.36,13.87
327,Borovskiy,40,79,57.04,26.6,8.95
328,Taylor,1,100,30.57,64.69,3.36
329,Mala Kladusa,0,91,45.13,37.4,2.48
330,Sosnovka,90,93,56.19,32.0,15.66
331,La Paz,44,99,10.89,80.32,3.38
332,Dumanjog,40,66,10.06,87.8,8.05
333,Brea,75,82,33.92,56.57,3.36
334,Santo Domingo,44,94,8.5,73.21,4.16
335,Reo,20,31,12.32,70.51,8.41
336,Ceres,20,93,-15.28,66.82,2.82
337,Krasna,75,69,48.58,39.2,8.95
338,Calumpang,80,91,15.17,76.63,3.71
339,Ichihara,0,60,35.52,71.29,3.36
340,Soleuvre,0,93,49.53,37.4,3.36
341,Vladesti,80,79,45.85,46.3,6.73
342,Mopti,44,53,14.5,76.36,4.38
343,Kingussie,48,100,57.08,33.8,4.7
344,Tlaxcoapan,0,79,20.08,42.7,0.92
345,Oreoi,0,65,38.93,50.99,4.7
346,Surat Thani,20,59,9.14,89.6,3.36
347,Idrinskoye,24,82,54.37,21.73,7.63
348,Brugherio,0,69,45.55,40.08,4.72
349,Carmen,64,79,15.44,81.31,6.96
350,As,12,53,59.67,23.97,3.36
351,Socorro,92,99,6.47,62.23,0.47
352,Aleksandrovka,90,93,46.84,44.6,6.71
353,Barna,0,86,45.72,39.2,6.93
354,Valinhos,75,88,-22.95,68.0,2.24
355,Kilimatinde,44,78,-5.85,70.24,5.39
356,Draganesti-Olt,0,61,44.17,46.4,14.99
357,Antrim Borough,90,93,54.67,36.54,16.11
358,Kilingi,92,96,58.15,33.88,13.33
359,Siusega,40,74,-13.83,86.0,11.41
360,Schlieren / Zentrum,76,92,47.4,28.78,1.12
361,Kholtoson,68,64,50.3,17.14,4.27
362,Cocobeach,75,94,0.98,77.0,6.93
363,Palenque,92,98,-1.45,71.41,4.16
364,Vrani,0,86,45.04,41.0,3.36
365,Shirokiy,12,44,49.76,45.04,12.77
366,Valea Mare,0,61,44.67,46.4,14.99
367,Vakhrushev,44,74,48.98,42.97,11.21
368,Zaragoza,0,94,13.59,75.27,2.15
369,Kilcoole,75,93,53.1,38.05,23.04
370,Dimos Rhodes,20,59,36.25,60.8,11.41
371,Samaipata,92,98,-18.15,64.21,2.82
372,Fatehgarh,0,43,27.37,92.02,7.96
373,Nizamabad,0,42,18.67,94.0,8.08
374,Smederevo,0,81,44.66,42.78,8.05
375,Letychiv,80,85,49.38,36.49,20.6
376,Kottayam,20,66,9.58,87.8,2.24
377,Tapioszentmarton,20,80,47.34,42.24,12.75
378,San Felipe,88,100,14.02,77.17,7.07
379,Dolo,0,86,45.43,41.59,2.24
380,Einbeck,88,97,51.82,34.33,3.04
381,Villa Aglipay,64,79,15.47,81.31,6.96
382,Mandahara,44,81,-1.03,84.73,3.38
383,Stratos,20,100,38.67,47.3,3.36
384,Ratzeburg,0,100,53.7,28.98,3.36
385,Santo Tomás,100,24,25.53,76.99,6.85
386,Kabare,88,100,-2.47,61.87,2.82
387,Aruppukkottai,20,52,9.52,91.4,3.36
388,Moore,90,80,35.34,33.13,8.05
389,Coruripe,88,96,-10.13,80.41,8.75
390,Itaperucu,75,82,-25.2,68.0,9.17
391,Santa Ana Jilotzingo,40,58,19.54,60.17,0.58
392,Wipperfurth,44,93,51.12,37.83,3.36
393,Imbituba,0,94,-28.23,73.4,3.36
394,Vikesa,0,79,58.63,24.8,2.24
395,Daru,20,95,-9.08,84.91,8.97
396,Enterprise,1,77,31.32,58.75,3.36
397,San Ferdinando di Puglia,0,93,41.3,39.2,2.24
398,Guanhaes,12,96,-18.78,62.77,3.38
399,Kruisfontein,8,92,-34.0,66.19,3.04
400,San Pedro Sacatepequez,90,94,14.97,73.4,5.82
401,Mintlaw,75,100,57.58,35.74,6.93
402,Cururupu,80,99,-1.83,76.63,2.93
403,Corlateni,0,86,47.93,39.2,3.36
404,Tinampo,76,90,13.23,80.05,1.03
405,Ilaya,32,86,5.82,81.4,4.16
406,La Mesa,48,90,8.15,63.4,3.04
407,Sydenham,75,79,44.57,24.8,2.24
408,Fond du Sac,40,74,-20.04,84.2,11.41
409,North Little Rock,90,93,34.77,43.23,10.29
410,Muzaffargarh,40,65,30.08,77.0,6.93
411,Farmington,90,92,37.78,30.2,6.93
412,Saint-Andre-Avellin,20,62,45.72,24.8,6.93
413,Shawnee,90,85,39.04,25.09,5.82
414,Kiyasovo,32,99,56.35,29.83,6.29
415,Boksburg,40,93,-26.21,62.06,3.36
416,Ureshino,20,38,33.1,72.73,11.41
417,Oberndorf,0,88,48.28,32.0,2.24
418,Ibipeba,12,96,-11.63,65.56,6.06
419,Warmbaths,76,94,-24.88,61.33,3.94
420,Tiganesti,12,74,43.9,48.91,18.25
421,Labangan,24,71,7.87,86.17,4.16
422,Miami Shores,20,78,25.86,73.4,4.7
423,Carvin,90,87,50.49,42.8,6.93
424,Jewar,0,40,28.13,87.8,9.17
425,Nandrin,20,80,50.5,40.39,9.17
426,Sabile,92,99,57.05,33.16,9.31
427,Cachoeirinha,90,94,-29.95,71.6,10.29
428,Fulton,1,74,43.32,29.64,3.83
429,Icoana,0,61,44.42,46.4,14.99
430,Linamon,24,88,8.19,83.11,9.42
431,Puerto Escondido,5,74,15.85,80.6,8.41
432,Heilbad Heiligenstadt,88,90,51.38,33.8,2.24
433,Salmoral,0,95,19.33,64.3,2.37
434,Bulaevo,92,99,54.91,29.29,11.65
435,Siguiri,64,74,11.42,74.47,2.82
436,Placetas,20,93,22.31,64.4,4.7
437,Kovacica,0,81,45.11,42.78,6.93
438,Candolim,0,86,15.52,86.71,6.73
439,Nadudvar,0,80,47.42,39.2,13.87
440,Gazli,32,62,40.13,56.2,13.78
441,Steinbach am Taunus,75,93,50.17,36.5,2.24
442,Baley,8,29,51.6,28.3,9.98
443,Coreau,64,98,-3.55,71.68,3.15
444,Majengo,80,100,-5.15,77.08,5.73
445,Dimitrov,0,76,40.01,51.8,3.38
446,Artesia,1,45,32.84,62.6,18.34
447,Sao Cristovao,40,78,-11.02,80.6,8.05
448,Highland,1,72,34.13,57.2,5.82
449,Ipatovo,12,92,45.72,45.67,15.57
450,Strizhi,56,92,58.46,29.2,10.76
451,Yovon,90,62,38.31,57.2,4.47
452,Timbauba,75,88,-7.52,74.23,3.36
453,Amantea,40,81,39.13,51.8,5.82
454,Urman,88,86,54.88,33.79,3.38
455,Dum Duma,20,48,27.57,84.2,3.36
456,Brates,76,73,45.83,35.23,8.75
457,Yumbel,0,93,-37.08,53.6,4.7
458,Tsikalaria,20,71,35.48,55.4,6.93
459,Burdinne,20,80,50.58,40.73,9.17
460,Gauribidanur,0,65,13.61,82.4,6.93
461,Jemna,20,44,33.58,57.19,9.64
462,Lalitpur,0,29,24.68,93.73,4.5
463,Novy Bydzov,20,79,50.24,35.67,10.29
464,Duliagaon,20,48,27.37,84.2,3.36
465,Barbosa,40,100,6.44,57.2,2.71
466,Koga,20,38,33.73,68.27,11.41
467,Richmond,1,71,37.94,56.07,9.17
468,Tarjan,20,80,47.61,41.0,12.75
469,Stockton,1,59,37.96,60.3,9.17
470,Neuville-en-Ferrain,90,87,50.75,42.35,6.93
471,Bongued,12,63,7.12,89.23,10.42
472,Lebach,0,91,49.4,34.41,5.82
473,Cluain Meala,92,96,52.35,45.31,7.74
474,Bizhbulyak,88,100,53.7,33.25,5.95
475,Vaiusu,40,74,-13.82,86.0,11.41
476,Green,90,91,40.95,33.04,4.7
477,Schiltigheim,80,94,48.6,32.0,2.82
478,Lisle,1,79,41.8,25.3,8.05
479,Indapur,0,45,18.3,92.74,5.17
480,Haldensleben,12,90,52.3,30.46,9.75
481,Krosno Odrzanskie,75,86,52.05,33.8,13.87
482,Kapellen,90,93,51.32,39.52,4.7
483,Axel,90,93,51.27,40.46,4.7
484,Worcester,1,42,42.26,33.37,3.36
485,Oneonta,80,72,42.45,21.1,2.15
486,Tingi,88,100,-11.3,71.95,2.59
487,Itigi,56,84,-5.7,67.63,8.63
488,Temizhbekskaya,32,92,45.45,49.45,8.86
489,Pigkelegan,12,63,7.23,89.23,10.42
490,Mwaya,88,100,-9.55,70.51,1.7
491,Hassan,0,56,13.0,87.16,6.29
492,Hampden,1,50,44.74,28.36,3.36
493,Reinsvik,75,92,63.1,28.4,3.36
494,Savigny-le-Temple,0,70,48.57,44.6,9.17
495,Spermezeu,20,75,47.3,41.0,13.87
496,Loutraki,0,70,37.98,48.2,3.36
497,Vyksa,92,98,55.32,37.39,13.78
498,Spitak,0,80,40.8,35.6,2.82
499,Strasice,90,93,49.74,35.6,2.24
500,Bellaire,75,100,29.71,70.81,3.36
501,Contramaestre,75,83,20.3,71.6,4.7
502,Vorselaar,20,93,51.2,39.47,3.36
503,Kaliua,88,93,-5.06,66.91,3.38
504,Venadillo,88,100,4.72,62.14,1.81
505,Wenden,80,93,50.97,37.4,3.36
506,Basiglio,0,69,45.37,41.07,4.72
507,Léona,0,95,16.02,66.01,16.46
508,Pueblo Nuevo Vinas,36,84,14.23,61.33,0.36
509,Nachod,20,74,50.42,32.0,10.29
510,Oyan,40,88,8.05,78.8,6.93
511,Chorozinho,75,94,-4.3,78.8,5.82
512,Palimbang,8,95,6.21,82.66,11.43
513,Panambi,92,99,-28.3,63.4,4.94
514,Skorodumovka,64,94,48.34,43.33,17.02
515,Chicomuselo,0,90,15.77,53.14,1.36
516,Bloomfield,75,68,44.02,26.6,2.24
517,Oktyabr’sk,36,100,53.17,34.24,8.08
518,Non Thai,75,47,15.2,95.0,6.93
519,Lynchburg,75,71,37.41,53.83,4.05
520,Tsimasham,12,53,27.07,69.07,1.92
521,Santo Tomas,0,94,13.64,75.34,2.15
522,Krasnaya Gorbatka,92,99,55.87,37.03,14.0
523,Vijayapuri,40,66,11.23,84.2,4.7
524,Petropavlovskoye,0,100,52.07,28.39,5.39
525,Blue Springs,90,86,39.02,25.09,6.93
526,Siliveniotika,0,89,38.17,51.25,6.4
527,Lanester,92,93,47.76,50.0,8.05
528,Shabqadar,40,47,34.21,80.6,4.7
529,Saray,40,76,40.53,50.0,21.92
530,Sarbeni,20,70,44.47,45.5,8.05
531,Flower Mound,90,81,33.01,45.45,12.75
532,Machali,0,65,-34.18,52.6,4.38
533,Kostek,12,82,43.34,49.54,3.94
534,Toltestava,40,80,47.63,41.97,9.17
535,Dolni Nemci,20,69,48.97,38.25,9.17
536,Lynn Haven,1,100,30.25,58.1,8.86
537,Joliette,90,54,46.03,28.99,5.82
538,Bagnols-sur-Ceze,0,69,44.16,38.07,2.24
539,Nchelenge,56,97,-9.35,67.0,4.83
540,Marshall,90,100,39.12,26.13,3.36
541,Upper Klinan,32,86,6.23,81.4,4.16
542,Werl,75,86,51.55,36.16,3.36
543,Piscu Vechi,0,79,43.9,48.37,15.23
544,Kalamare,20,93,-22.87,61.69,9.64
545,Tessalit,0,33,20.2,64.03,3.83
546,Chiniot,32,61,31.72,84.73,9.42
547,Holesov,20,69,49.33,36.54,17.22
548,Malusac,75,44,14.86,91.33,13.87
549,Irondequoit,90,63,43.21,30.2,4.7
550,Gushu,0,54,31.56,80.6,11.18
551,Goure,0,29,13.99,66.01,6.96
552,Lincolnton,1,42,35.47,62.78,6.93
553,Neyvo-Shaytanskiy,8,79,57.73,31.36,5.17
554,Eibergen,90,93,52.1,36.45,4.7
555,Oberasbach,40,100,49.43,36.07,3.36
556,Zelenogorsk,90,94,60.2,33.8,8.95
557,Pakruojis,90,100,55.97,32.0,9.17
558,Uxbridge,1,37,42.08,34.9,4.72
559,Shelopugino,0,27,51.65,26.77,11.65
